cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp
1.8,1.40234375,2.640625,3.6455078125,0.0,2.0,36.0,27.57,472735358976,446339104768,23206359040,5.6,0,0,0.0,64013014560768,211006184798208,23525949,33275230,cubic,2025-07-05 12:11:55
0.5,1.2900390625,2.5966796875,3.62548828125,0.0,2.0,36.0,27.65,472735358976,446350123008,23195344896,5.6,0,0,0.0,64013014626304,211006187317248,23543995,33292812,cubic,2025-07-05 12:12:01
7.1,1.17138671875,2.52734375,3.591796875,0.0,2.0,36.0,27.65,472735358976,446572703744,22972764160,5.5,0,0,0.0,64013014626304,211006188005376,23563618,33312527,cubic,2025-07-05 12:12:07
7.9,1.1572265625,2.501953125,3.57763671875,0.0,2.0,36.0,27.67,472735358976,446386257920,23159209984,5.6,0,0,0.0,64013014626304,211006188967936,23594067,33343732,cubic,2025-07-05 12:12:13
7.3,1.22509765625,2.4931640625,3.56884765625,0.0,2.0,36.0,27.76,472735358976,446336827392,23208640512,5.6,0,0,0.0,64013014626304,211006189926400,23610108,33358495,cubic,2025-07-05 12:12:19
6.8,1.44775390625,2.5185546875,3.5712890625,0.0,2.0,36.0,27.68,472735358976,446346584064,23198871552,5.6,0,0,0.0,64013014626304,211006190585856,23629355,33376342,cubic,2025-07-05 12:12:25
7.7,1.41162109375,2.4931640625,3.55712890625,0.0,2.0,36.0,27.68,472735358976,446342443008,23203024896,5.6,0,0,0.0,64013014626304,211006192527360,23663165,33408038,cubic,2025-07-05 12:12:31
6.3,1.34765625,2.44384765625,3.529296875,0.0,2.0,36.0,27.65,472735358976,446340710400,23204757504,5.6,0,0,0.0,64013014626304,211006193186816,23676244,33419523,cubic,2025-07-05 12:12:37
6.3,1.47998046875,2.453125,3.5263671875,0.0,2.0,36.0,27.64,472735358976,446344249344,23201218560,5.6,0,0,0.0,64013014626304,211006193915904,23689975,33431634,cubic,2025-07-05 12:12:43
1.9,1.361328125,2.412109375,3.50732421875,0.0,2.0,36.0,27.7,472735358976,446349070336,23196397568,5.6,0,0,0.0,64013014626304,211006194575360,23721562,33460937,cubic,2025-07-05 12:12:49
1.9,1.251953125,2.37158203125,3.48828125,0.0,2.0,36.0,27.61,472735358976,446351601664,23193853952,5.6,0,0,0.0,64013014626304,211006195222528,23736969,33474394,cubic,2025-07-05 12:12:55
6.4,1.2314453125,2.3486328125,3.474609375,0.0,2.0,36.0,27.66,472735358976,446351736832,23193731072,5.6,0,0,0.0,64013014626304,211006196692992,23762837,33498246,cubic,2025-07-05 12:13:01
