cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,workload_type
14.6,1.54931640625,2.0,2.875,0.0,2.0,35.0,27.8,472735358976,446317281280,23228243968,5.6,0,0,0.0,64013033836544,211006395631616,26461446,105571605,cubic,2025-07-05 12:20:59,cpu_bound
14.3,1.82568359375,2.0498046875,2.88671875,0.0,2.0,35.0,27.75,472735358976,446317023232,23228502016,5.6,0,0,0.0,64013033836544,211006431635456,26475613,105584972,cubic,2025-07-05 12:21:02,cpu_bound
14.1,1.82568359375,2.0498046875,2.88671875,0.0,2.0,35.0,27.86,472735358976,446318460928,23227056128,5.6,0,0,0.0,64013033836544,211006431635456,26488004,105596709,cubic,2025-07-05 12:21:05,cpu_bound
14.9,2.080078125,2.09912109375,2.8984375,0.0,2.0,35.0,27.83,472735358976,446314098688,23231426560,5.6,0,0,0.0,64013033836544,211006432217088,26496453,105604098,cubic,2025-07-05 12:21:08,cpu_bound
7.2,2.080078125,2.09912109375,2.8984375,0.0,2.0,35.0,27.8,472735358976,446316126208,23229399040,5.6,0,0,0.0,64013033836544,211006432593920,26519207,105625202,cubic,2025-07-05 12:21:11,io_bound
6.0,1.9931640625,2.08056640625,2.88818359375,0.0,2.0,35.0,27.89,472735358976,446318448640,23227076608,5.6,0,0,0.0,64013033836544,211006434744320,26524957,105631104,cubic,2025-07-05 12:21:14,io_bound
8.0,2.154296875,2.11279296875,2.89453125,0.0,2.0,35.0,27.81,472735358976,446350921728,23194603520,5.6,0,0,0.0,64013033836544,211006621263872,26544695,105650652,cubic,2025-07-05 12:21:17,io_bound
6.9,2.154296875,2.11279296875,2.89453125,0.0,2.0,35.0,27.77,472735358976,446316441600,23229075456,5.6,0,0,0.0,64013033889792,211006787463168,26554975,105661150,cubic,2025-07-05 12:21:20,io_bound
4.9,1.9814453125,2.07763671875,2.87890625,0.0,2.0,35.0,27.76,472735358976,444316073984,25229447168,6.0,0,0,0.0,64013033984000,211007059412992,26562728,105668681,cubic,2025-07-05 12:21:23,memory_bound
6.2,1.9814453125,2.07763671875,2.87890625,0.0,2.0,35.0,27.74,472735358976,445320867840,24224657408,5.8,0,0,0.0,64013033984000,211007509620736,26571614,105677169,cubic,2025-07-05 12:21:26,memory_bound
4.9,1.9833984375,2.076171875,2.8740234375,0.0,2.0,35.0,27.75,472735358976,445534265344,24011259904,5.8,0,0,0.0,64013033984000,211007509620736,26579097,105684118,cubic,2025-07-05 12:21:29,memory_bound
5.0,1.98486328125,2.07470703125,2.869140625,0.0,2.0,35.0,27.7,472735358976,446328008704,23217516544,5.6,0,0,0.0,64013033984000,211007509989376,26606894,105712047,cubic,2025-07-05 12:21:32,memory_bound
18.7,1.98486328125,2.07470703125,2.869140625,0.0,2.0,35.0,27.78,472735358976,444567220224,24978296832,6.0,0,0,0.0,64013033984000,211007510140928,26619932,105724349,cubic,2025-07-05 12:21:36,mixed
17.6,2.466796875,2.17333984375,2.89697265625,0.0,2.0,35.0,27.81,472735358976,445926895616,23618662400,5.7,0,0,0.0,64013033984000,211007510538240,26637735,105741400,cubic,2025-07-05 12:21:39,mixed
18.6,2.466796875,2.17333984375,2.89697265625,0.0,2.0,35.0,27.92,472735358976,445663862784,23881695232,5.7,0,0,0.0,64013033984000,211007510902784,26654862,105757349,cubic,2025-07-05 12:21:42,mixed
16.8,6.2734375,2.9677734375,3.150390625,0.0,2.0,35.0,27.82,472735358976,446319628288,23225929728,5.6,0,0,0.0,64013034000384,211007511779328,26663873,105765616,cubic,2025-07-05 12:21:45,mixed
